6,47,38,37.7917286,-122.4186108,33.921,0,0.038,10.55,12.145,180,0.515,3,13,1.4
6,47,39,37.7917244,-122.4186127,33.938,0,0.031,7.841,6.523,180,0.299,3,13,1.4
6,47,40,37.7917251,-122.4186131,33.969,0,0.029,7.577,6.954,180,0.262,3,13,1.4
6,47,41,37.7917258,-122.4186131,34.023,0,0.093,6.474,6.254,111.231,0.39,3,13,1.4
6,47,42,37.7917245,-122.4186122,33.983,0,0.059,5.706,5.68,111.245,0.342,3,13,1.4
6,47,43,37.7917244,-122.4186115,33.913,0,0.075,5.185,5.276,111.258,0.315,3,13,1.4
6,47,44,37.7917253,-122.4186106,33.966,0,0.072,4.812,4.952,111.273,0.387,3,13,1.4
6,47,45,37.7917256,-122.4186103,33.928,0,0.046,4.494,4.692,111.273,0.353,3,13,1.4
6,47,46,37.7917257,-122.4186095,33.902,0,0.05,4.264,4.476,111.288,0.362,3,13,1.4
6,47,47,37.7917266,-122.4186083,34.074,0,0.034,4.069,4.273,111.298,0.262,3,13,1.4
6,47,48,37.7917272,-122.4186082,34.137,0,0.022,3.904,4.109,111.305,0.174,3,13,1.39
6,47,49,37.7917273,-122.4186081,34.093,0,0.072,3.774,3.988,111.305,0.408,3,12,1.75
6,47,50,37.7917272,-122.4186079,34.053,0,0.011,3.653,3.868,111.305,0.259,3,12,1.75
6,47,51,37.7917274,-122.4186081,34.024,0,0.012,3.54,3.749,111.305,0.34,3,12,1.75
6,47,52,37.791727,-122.4186083,33.946,0,0.007,3.457,3.676,111.305,0.274,3,12,1.75
6,47,53,37.791727,-122.4186085,33.854,0,0.032,3.386,3.605,111.305,0.268,3,12,1.75
6,47,54,37.7917271,-122.418609,33.759,0,0.045,3.32,3.554,111.305,0.341,3,12,1.75
6,47,55,37.7917271,-122.4186097,33.627,0,0.047,3.253,3.502,111.305,0.387,3,12,1.75
6,47,56,37.7917275,-122.4186105,33.465,0,0.08,3.195,3.445,111.305,0.381,3,12,1.75
6,47,57,37.7917287,-122.4186113,33.368,0,0.047,3.143,3.4,111.305,0.376,3,12,1.75
6,47,58,37.7917292,-122.418612,33.228,0,0.015,3.09,3.354,111.305,0.352,3,12,1.75
6,47,59,37.7917304,-122.4186126,33.137,0,0.026,3.037,3.308,111.305,0.396,3,12,1.75
6,48,0,37.7917316,-122.4186131,32.953,0,0.04,2.977,3.257,111.305,0.292,3,12,1.75
6,48,1,37.7917328,-122.4186137,32.782,0,0.038,2.923,3.216,111.305,0.301,3,12,1.75
